EventN,TriggerN,TimestampBegin,TimestampEnd
492,492,3069100775,3069100800
493,493,3075350775,3075350800
494,494,3081600775,3081600800
495,495,3087850775,3087850800
496,496,3094100775,3094100800
497,497,3100350775,3100350800
498,498,3106600775,3106600800
499,499,3112850775,3112850800
500,500,3119100775,3119100800
501,501,3125350775,3125350800
502,502,3131600775,3131600800
503,503,3137850775,3137850800
504,504,3144100775,3144100800
505,505,3150350775,3150350800
506,506,3156600775,3156600800
507,507,3162850775,3162850800
508,508,3169100775,3169100800
509,509,3175350775,3175350800
510,510,3181600775,3181600800
511,511,3187850775,3187850800
512,512,3194100775,3194100800
513,513,3200350775,3200350800
514,514,3206600775,3206600800
515,515,3212850775,3212850800
516,516,3219100775,3219100800
517,517,3225350775,3225350800
518,518,3231600775,3231600800
519,519,3237850775,3237850800
520,520,3244100775,3244100800
521,521,3250350775,3250350800
522,522,3256600775,3256600800
523,523,3262850775,3262850800
524,524,3269100775,3269100800
525,525,3275350775,3275350800
526,526,3281600775,3281600800
527,527,3287850775,3287850800
528,528,3294100775,3294100800
529,529,3300350775,3300350800
530,530,3306600775,3306600800
531,531,3312850775,3312850800
532,532,3319100775,3319100800
533,533,3325350775,3325350800
534,534,3331600775,3331600800
535,535,3337850775,3337850800
536,536,3344100775,3344100800
537,537,3350350775,3350350800
538,538,3356600775,3356600800
539,539,3362850775,3362850800
540,540,3369100775,3369100800
541,541,3375350775,3375350800
542,542,3381600775,3381600800
543,543,3387850775,3387850800
544,544,3394100775,3394100800
545,545,3400350775,3400350800
546,546,3406600775,3406600800
547,547,3412850775,3412850800
548,548,3419100775,3419100800
549,549,3425350775,3425350800
550,550,3431600775,3431600800
551,551,3437850775,3437850800
552,552,3444100775,3444100800
553,553,3450350775,3450350800
554,554,3456600775,3456600800
555,555,3462850775,3462850800
556,556,3469100775,3469100800
557,557,3475350775,3475350800
558,558,3481600775,3481600800
559,559,3487850775,3487850800
560,560,3494100775,3494100800
561,561,3500350775,3500350800
562,562,3506600775,3506600800
563,563,3512850775,3512850800
564,564,3519100775,3519100800
565,565,3525350775,3525350800
566,566,3531600775,3531600800
567,567,3537850775,3537850800
568,568,3544100775,3544100800
569,569,3550350775,3550350800
570,570,3556600775,3556600800
571,571,3562850775,3562850800
572,572,3569100775,3569100800
573,573,3575350775,3575350800
574,574,3581600775,3581600800
575,575,3587850775,3587850800
576,576,3594100775,3594100800
577,577,3600350775,3600350800
578,578,3606600775,3606600800
579,579,3612850775,3612850800
580,580,3619100775,3619100800
581,581,3625350775,3625350800
582,582,3631600775,3631600800
583,583,3637850775,3637850800
584,584,3644100775,3644100800
585,585,3650350775,3650350800
586,586,3656600775,3656600800
587,587,3662850775,3662850800
588,588,3669100775,3669100800
589,589,3675350775,3675350800
590,590,3681600775,3681600800
591,591,3687850775,3687850800
592,592,3694100775,3694100800
593,593,3700350775,3700350800
594,594,3706600775,3706600800
595,595,3712850775,3712850800
596,596,3719100775,3719100800
597,597,3725350775,3725350800
598,598,3731600775,3731600800
599,599,3737850775,3737850800
600,600,3744100775,3744100800
601,601,3750350775,3750350800
602,602,3756600775,3756600800
603,603,3762850775,3762850800
604,604,3769100775,3769100800
605,605,3775350775,3775350800
606,606,3781600775,3781600800
607,607,3787850775,3787850800
608,608,3794100775,3794100800
609,609,3800350775,3800350800
610,610,3806600775,3806600800
611,611,3812850775,3812850800
612,612,3819100775,3819100800
613,613,3825350775,3825350800
614,614,3831600775,3831600800
615,615,3837850775,3837850800
616,616,3844100775,3844100800
617,617,3850350775,3850350800
618,618,3856600775,3856600800
619,619,3862850775,3862850800
620,620,3869100775,3869100800
621,621,3875350775,3875350800
622,622,3881600775,3881600800
623,623,3887850775,3887850800
624,624,3894100775,3894100800
625,625,3900350775,3900350800
626,626,3906600775,3906600800
627,627,3912850775,3912850800
628,628,3919100775,3919100800
629,629,3925350775,3925350800
630,630,3931600775,3931600800
631,631,3937850775,3937850800
632,632,3944100775,3944100800
633,633,3950350775,3950350800
634,634,3956600775,3956600800
635,635,3962850775,3962850800
636,636,3969100775,3969100800
637,637,3975350775,3975350800
638,638,3981600775,3981600800
639,639,3987850775,3987850800
640,640,3994100775,3994100800
641,641,4000350775,4000350800
642,642,4006600775,4006600800
643,643,4012850775,4012850800
644,644,4019100775,4019100800
645,645,4025350775,4025350800
