EventN,TriggerN,TimestampBegin,TimestampEnd
755,17301,0,0
756,17324,0,0
757,17347,0,0
758,17370,0,0
759,17393,0,0
760,17417,0,0
761,17464,0,0
762,17463,0,0
763,17486,0,0
764,17509,0,0
765,17532,0,0
766,17555,0,0
767,17578,0,0
768,17601,0,0
769,17624,0,0
770,17647,0,0
771,17670,0,0
772,17693,0,0
773,17716,0,0
774,17739,0,0
775,17762,0,0
776,17785,0,0
777,17816,0,0
778,17831,0,0
779,17854,0,0
780,17877,0,0
781,17900,0,0
782,17923,0,0
783,17946,0,0
784,17969,0,0
785,17993,0,0
786,18040,0,0
787,18039,0,0
788,18062,0,0
789,18085,0,0
790,18108,0,0
791,18131,0,0
792,18154,0,0
793,18177,0,0
794,18200,0,0
795,18223,0,0
796,18246,0,0
797,18269,0,0
798,18292,0,0
799,18315,0,0
800,18338,0,0
801,18361,0,0
802,18392,0,0
803,18407,0,0
804,18430,0,0
805,18453,0,0
806,18476,0,0
807,18499,0,0
808,18522,0,0
809,18545,0,0
810,18569,0,0
811,18616,0,0
812,18615,0,0
813,18638,0,0
814,18661,0,0
815,18684,0,0
816,18707,0,0
817,18730,0,0
818,18753,0,0
819,18776,0,0
820,18799,0,0
821,18822,0,0
822,18845,0,0
823,18868,0,0
824,18891,0,0
825,18914,0,0
826,18937,0,0
827,18968,0,0
828,18983,0,0
829,19006,0,0
830,19029,0,0
831,19052,0,0
832,19075,0,0
833,19098,0,0
834,19122,0,0
835,19145,0,0
836,19192,0,0
837,19191,0,0
838,19214,0,0
839,19237,0,0
840,19260,0,0
841,19283,0,0
842,19306,0,0
843,19329,0,0
844,19352,0,0
845,19375,0,0
846,19398,0,0
847,19421,0,0
848,19437,0,0
849,19455,0,0
850,19478,0,0
851,19501,0,0
852,19524,0,0
853,19547,0,0
854,19570,0,0
855,19593,0,0
856,19640,0,0
857,19639,0,0
858,19662,0,0
859,19685,0,0
860,19708,0,0
861,19731,0,0
862,19755,0,0
863,19778,0,0
864,19801,0,0
865,19832,0,0
866,19847,0,0
867,19870,0,0
868,19893,0,0
869,19916,0,0
870,19939,0,0
871,19962,0,0
872,19985,0,0
873,20008,0,0
